Score_Sum,Full_Evaluation(claude-opus-4-6-gpt-5.2).csv,Full_Evaluation(gpt-5.1-gpt-5.2.csv).csv,Full_Evaluation(qwen3-max-gpt-5.2).csv
0,4.1,0.55,0.0
1,1.09,1.37,0.0
2,0.55,1.37,0.0
3,0.55,4.92,0.0
4,0.27,3.83,0.55
5,0.0,1.09,0.0
6,0.0,0.27,1.09
7,0.0,0.27,0.55
8,0.0,1.37,0.27
9,0.0,3.55,1.37
10,0.0,3.83,0.0
11,1.09,5.74,0.82
12,0.27,6.28,0.55
13,0.55,1.64,0.27
14,0.82,5.46,0.0
15,1.64,6.01,0.82
16,2.73,6.56,0.55
17,5.46,7.38,1.37
18,7.65,10.93,3.83
19,7.38,9.29,4.92
20,9.56,7.65,5.46
21,9.56,4.92,10.38
22,13.11,3.55,15.85
23,11.48,1.37,15.3
24,9.84,0.82,13.93
25,8.74,0.0,9.02
26,2.46,0.0,10.93
27,0.82,0.0,2.19
28,0.27,0.0,0.0
